age,income,savings,experience,horizon,risk_score,risk_profile
23,2147754,249570,15,14,75,Aggressive
19,1739570,1749218,20,27,96,Aggressive
47,1821130,2983750,20,28,84,Aggressive
25,1249620,1600359,8,22,71,Aggressive
45,1488535,1954711,16,30,77,Aggressive
44,1318783,2997442,2,16,70,Aggressive
27,1813192,2979764,14,14,77,Aggressive
18,2753289,4822527,14,12,91,Aggressive
31,2299804,3507774,15,24,87,Aggressive
47,2979518,3482866,11,20,76,Aggressive
46,1560425,3795697,4,27,74,Aggressive
47,2077632,987862,13,23,70,Aggressive
32,1889869,4864619,12,13,82,Aggressive
28,1224367,2739750,5,23,81,Aggressive
24,2948897,2379138,0,15,80,Aggressive
35,2070722,2133614,12,20,89,Aggressive
31,2249794,4936518,14,4,83,Aggressive
47,1985176,1896460,16,19,77,Aggressive
24,1885614,3107070,13,18,84,Aggressive
26,1561288,2833247,11,18,88,Aggressive
39,1932946,4568524,13,25,77,Aggressive
33,2319041,2878857,8,23,87,Aggressive
58,1720320,188374,12,5,27,Conservative
40,2261538,3800513,14,4,70,Aggressive
51,2596149,4197762,6,28,77,Aggressive
45,2027776,4507969,13,26,79,Aggressive
35,1714611,3937784,19,23,86,Aggressive
41,2352325,4898762,19,25,87,Aggressive
28,2520616,4206968,1,13,75,Aggressive
23,2361876,4409347,5,18,82,Aggressive
27,1142595,3500740,17,23,87,Aggressive
19,2933151,4470396,7,6,77,Aggressive
32,1307078,3564173,20,8,80,Aggressive
31,2178201,3432868,20,1,84,Aggressive
39,1964966,2941123,10,24,79,Aggressive
30,1206401,585835,15,22,71,Aggressive
38,1591725,3336622,10,18,77,Aggressive
21,1146052,1541222,19,15,79,Aggressive
48,1091084,845817,0,1,19,Conservative
26,339336,697247,0,4,30,Conservative
37,579547,1402646,0,5,32,Conservative
50,421267,407227,5,1,11,Conservative
46,344520,624545,15,3,19,Conservative
65,2754645,89382,1,9,24,Conservative
20,565889,172195,3,2,25,Conservative
48,281634,352870,7,23,29,Conservative
59,730015,870136,4,8,33,Conservative
54,266846,3551159,1,2,26,Conservative
49,1186045,170961,1,13,20,Conservative
42,283368,4251103,1,7,28,Conservative
54,1148040,123937,10,3,23,Conservative
51,236599,1455578,1,1,25,Conservative
57,299262,2371666,4,7,23,Conservative
65,2993651,466269,0,12,29,Conservative
48,2376142,183344,6,3,29,Conservative
60,1594641,35560,3,2,28,Conservative
62,2380246,405512,2,17,34,Conservative
44,1468683,1312360,2,2,31,Conservative
63,450770,36774,1,24,32,Conservative
64,603336,657275,11,8,29,Conservative
51,1888483,1089135,1,2,25,Conservative
59,2998329,4725133,2,1,34,Conservative
64,363693,218087,4,3,11,Conservative
52,211272,1493126,0,10,23,Conservative
45,1097412,1257027,0,8,32,Conservative
39,487194,986943,9,5,34,Conservative
31,1684382,34294,0,5,34,Conservative
58,2820095,587136,9,5,31,Conservative
61,2119498,246392,5,1,27,Conservative
61,399277,2783133,6,7,23,Conservative
64,1154350,1415852,3,29,33,Conservative
34,415603,1227880,7,2,30,Conservative
45,1991856,907281,0,9,34,Conservative
63,918805,519709,5,2,26,Conservative
50,352566,472473,9,3,24,Conservative
65,558885,2150014,4,16,33,Conservative
49,392197,1842730,17,4,31,Conservative
65,2442091,169907,15,7,33,Conservative
50,226325,1198427,7,2,27,Conservative
18,232740,995257,3,9,34,Conservative
59,679137,957361,5,6,18,Conservative
41,1007428,199466,2,24,33,Conservative
53,415184,38354,9,6,17,Conservative
62,348801,416406,14,24,33,Conservative
38,1429099,211392,4,2,31,Conservative
58,1014486,1838007,5,13,33,Conservative
56,505436,1732163,5,15,33,Conservative
54,1550492,1066598,4,2,28,Conservative
51,1167194,472797,7,6,33,Conservative
58,290856,3284539,0,5,27,Conservative
45,399050,783214,17,4,34,Conservative
49,755815,67386,10,7,28,Conservative
58,883954,1636715,0,8,25,Conservative
39,609607,2478483,2,7,33,Conservative
60,505139,3851411,7,7,34,Conservative
62,869790,193739,11,8,22,Conservative
54,353971,430749,10,14,28,Conservative
58,1391119,151952,3,4,19,Conservative
64,981632,458246,12,10,33,Conservative
28,846843,593945,3,10,34,Conservative
45,329057,115288,4,11,18,Conservative
56,1052580,1439701,14,8,34,Conservative
46,375353,3187750,8,5,30,Conservative
58,1143515,449301,3,22,32,Conservative
56,2749717,22397,0,15,34,Conservative
47,1693920,109828,8,10,34,Conservative
63,1697835,541042,8,4,32,Conservative
65,1521245,1302457,11,4,32,Conservative
57,1693419,57262,6,30,32,Conservative
50,1107996,126286,8,28,34,Conservative
24,858419,111380,6,3,29,Conservative
63,2337103,925351,3,8,34,Conservative
47,229174,565460,13,12,29,Conservative
59,867667,1014336,11,1,27,Conservative
19,1104151,454476,3,2,34,Conservative
28,377970,2163735,4,2,26,Conservative
61,776602,1980768,2,12,34,Conservative
50,1009642,174258,6,3,21,Conservative
39,1832862,195284,8,4,28,Conservative
64,989394,759576,1,13,25,Conservative
64,219640,2744912,13,1,25,Conservative
57,604207,2982601,8,4,30,Conservative
62,264282,4616293,5,2,34,Conservative
42,300308,691862,3,2,16,Conservative
61,2117832,2281905,0,2,29,Conservative
38,221691,1322279,7,1,29,Conservative
59,1420238,134473,12,9,29,Conservative
58,2392279,144534,8,10,32,Conservative
52,408046,3279423,1,2,25,Conservative
40,643001,104655,2,8,19,Conservative
65,1839683,69602,9,2,32,Conservative
48,724859,1274826,0,10,33,Conservative
58,349458,1650535,13,15,34,Conservative
60,615717,1875359,13,8,33,Conservative
61,1257110,947168,0,6,33,Conservative
56,628720,156458,4,27,31,Conservative
55,2291161,549838,6,4,34,Conservative
61,712215,2051575,1,15,32,Conservative
60,670336,1596711,12,1,34,Conservative
58,382378,3990919,4,6,23,Conservative
59,368134,596201,16,4,16,Conservative
38,1083259,534004,1,13,30,Conservative
41,261166,283176,10,2,33,Conservative
32,514360,1020500,0,1,29,Conservative
54,946572,47292,7,11,28,Conservative
49,495363,471713,14,14,34,Conservative
58,1121547,3299227,1,1,25,Conservative
30,600416,1305225,2,6,33,Conservative
58,640940,185661,13,10,24,Conservative
48,1378382,451981,0,7,25,Conservative
52,691225,353168,4,4,27,Conservative
56,1776547,439916,0,1,14,Conservative
45,559889,1049424,12,1,33,Conservative
62,540466,2414505,1,2,31,Conservative
62,2778512,258858,0,7,23,Conservative
35,457873,95873,2,7,29,Conservative
62,2290396,131837,14,1,34,Conservative
43,368174,131670,4,24,29,Conservative
54,901264,1291380,7,11,34,Conservative
57,348288,850273,6,25,34,Conservative
50,600177,1050560,9,3,33,Conservative
55,2654774,975720,1,3,33,Conservative
61,566694,235486,3,25,26,Conservative
62,423816,4787353,1,4,33,Conservative
20,609838,467830,2,3,25,Conservative
65,651025,28787,1,27,26,Conservative
63,573609,322518,12,7,32,Conservative
63,2606505,817707,5,1,33,Conservative
51,1073730,4147273,0,2,30,Conservative
55,202222,2035539,1,5,28,Conservative
60,2341515,457032,2,9,32,Conservative
42,732156,19163,7,4,26,Conservative
62,1995713,1059866,7,3,30,Conservative
54,258176,638153,15,11,32,Conservative
65,1061315,1656928,16,2,34,Conservative
51,1947829,1016980,1,5,32,Conservative
34,226244,1501432,0,8,33,Conservative
27,356136,515427,15,1,29,Conservative
56,819283,1805319,2,7,32,Conservative
46,843872,4545548,3,1,33,Conservative
43,656068,152245,4,8,24,Conservative
45,245768,1937068,6,5,27,Conservative
44,717153,23035,1,5,22,Conservative
51,253366,2466792,8,5,31,Conservative
51,567191,1065795,13,3,33,Conservative
57,1285819,1030637,11,7,33,Conservative
58,620966,1230308,4,12,28,Conservative
61,354342,3456127,4,13,28,Conservative
43,1967601,669455,1,1,25,Conservative
57,1730325,3675794,0,4,29,Conservative
36,1694992,69317,0,3,21,Conservative
62,635591,1438405,2,25,29,Conservative
40,415669,486637,8,4,32,Conservative
57,354936,673071,13,10,33,Conservative
59,1118194,285383,10,6,23,Conservative
62,768476,313180,3,17,29,Conservative
64,375030,1683462,4,19,31,Conservative
61,237007,1367819,19,2,30,Conservative
43,535774,602041,10,10,33,Conservative
61,550646,733745,15,5,29,Conservative
57,661458,404030,1,11,27,Conservative
55,288866,2365413,5,4,29,Conservative
54,700399,1938974,2,5,34,Conservative
54,212280,178898,6,20,27,Conservative
63,663278,3638341,1,8,24,Conservative
48,891018,311229,3,1,28,Conservative
59,602027,2361591,7,10,32,Conservative
29,285195,520308,2,5,21,Conservative
65,409150,3717911,4,1,24,Conservative
60,1442205,1446223,1,1,18,Conservative
60,290871,2797776,9,5,30,Conservative
51,251724,131542,20,1,33,Conservative
26,585123,951759,1,2,25,Conservative
61,359711,2609354,0,7,33,Conservative
64,259407,862791,15,1,31,Conservative
58,1722222,285282,3,15,33,Conservative
59,694576,466912,1,14,15,Conservative
55,2848348,300738,6,3,32,Conservative
49,230122,202497,1,17,23,Conservative
58,207375,3020733,5,4,19,Conservative
52,873952,349772,7,13,33,Conservative
31,731917,1330772,1,1,31,Conservative
42,217456,1263423,2,12,24,Conservative
53,1211719,1442071,5,2,32,Conservative
43,1509967,169455,7,9,31,Conservative
39,868868,507523,2,11,30,Conservative
60,961572,1025503,4,4,28,Conservative
63,1287023,261729,9,2,22,Conservative
36,2780683,144877,2,4,32,Conservative
55,790111,220966,4,2,29,Conservative
58,1134420,647059,1,15,26,Conservative
30,1580939,25868,1,9,33,Conservative
60,670610,4915473,2,6,25,Conservative
64,1117203,343521,8,4,25,Conservative
29,313342,1431829,8,8,31,Conservative
35,381411,166747,8,19,32,Conservative
48,395998,932532,17,4,26,Conservative
56,734212,1494797,19,1,30,Conservative
65,1875889,1795789,5,8,33,Conservative
60,2679035,120007,0,12,30,Conservative
64,1047657,206517,1,8,17,Conservative
53,2209858,415997,1,5,33,Conservative
29,1166608,90548,2,3,21,Conservative
65,546733,44936,16,4,33,Conservative
42,1553920,294463,2,1,26,Conservative
39,1059545,1052032,0,1,25,Conservative
59,777884,940256,3,14,30,Conservative
65,1089646,308271,13,13,31,Conservative
57,497329,28619,3,8,17,Conservative
52,1838143,941106,3,2,26,Conservative
32,224566,2275390,0,4,27,Conservative
61,1952062,964346,3,7,32,Conservative
46,1195335,11380,2,3,11,Conservative
43,471282,165052,5,28,30,Conservative
57,2361151,934153,1,8,30,Conservative
30,450012,680636,5,9,30,Conservative
50,303590,1472577,9,13,28,Conservative
21,643273,623994,1,10,33,Conservative
60,1140451,1873581,4,2,32,Conservative
61,1490014,1794688,5,8,33,Conservative
51,279044,345553,1,9,19,Conservative
48,1195698,639540,0,5,25,Conservative
61,266784,1156242,16,2,26,Conservative
54,1192135,1170458,8,5,33,Conservative
59,704287,68397,9,1,22,Conservative
61,1752132,755592,2,3,32,Conservative
56,221206,1073855,2,11,29,Conservative
51,922853,393682,16,5,33,Conservative
58,909904,1931201,13,2,32,Conservative
50,1175500,912573,3,5,23,Conservative
53,449556,477418,13,5,30,Conservative
62,877665,1653458,0,3,20,Conservative
59,463400,1397083,3,6,24,Conservative
49,511255,256620,6,16,34,Conservative
51,1164450,562137,0,15,28,Conservative
56,2333180,1138087,0,3,26,Conservative
60,644583,522479,19,7,30,Conservative
47,219238,575942,0,25,26,Conservative
47,650191,372678,2,2,10,Conservative
42,2530150,380244,2,1,28,Conservative
56,464858,891589,3,6,30,Conservative
59,328769,890920,4,22,29,Conservative
59,653216,922735,2,26,33,Conservative
40,206240,378257,4,14,33,Conservative
48,323368,2341460,7,1,28,Conservative
56,1569829,136184,4,16,25,Conservative
59,401288,883311,18,4,34,Conservative
64,557928,1148985,0,14,30,Conservative
60,264306,11622,9,18,27,Conservative
55,938493,404435,3,6,34,Conservative
41,248221,178431,8,16,31,Conservative
62,2258376,2363244,2,3,33,Conservative
62,2456051,103235,3,16,33,Conservative
57,365615,556008,6,5,23,Conservative
20,497020,583363,12,1,33,Conservative
56,1886348,1304089,3,1,19,Conservative
64,729588,2228894,0,2,25,Conservative
65,1537962,4093336,2,6,33,Conservative
65,337039,2263705,2,9,28,Conservative
60,374117,263414,1,5,5,Conservative
61,2538523,216328,5,1,21,Conservative
57,1033649,2785393,0,1,30,Conservative
48,917000,1035310,9,8,33,Conservative
44,1756274,63334,1,12,34,Conservative
63,307322,759675,2,20,25,Conservative
21,414379,877656,1,2,34,Conservative
50,1015556,57301,4,28,29,Conservative
51,650529,623479,10,2,26,Conservative
49,289582,844198,18,1,34,Conservative
64,464571,448422,20,9,31,Conservative
47,254617,4948514,7,1,29,Conservative
60,218950,3979544,0,3,28,Conservative
46,522851,1400029,3,16,29,Conservative
50,1128499,269061,5,11,27,Conservative
37,713443,510892,7,6,34,Conservative
26,334253,170183,0,2,7,Conservative
60,245170,1134694,7,14,29,Conservative
49,1179887,494685,12,6,32,Conservative
51,1166877,400668,3,3,33,Conservative
26,362490,846749,1,11,30,Conservative
51,374218,2993836,4,2,23,Conservative
65,392129,1302826,0,16,33,Conservative
61,942302,1400150,3,7,21,Conservative
52,1096388,135638,6,8,24,Conservative
47,537007,153169,6,5,14,Conservative
62,598804,408564,2,27,29,Conservative
34,435181,1971598,4,1,32,Conservative
23,309236,135717,3,3,25,Conservative
53,1263719,688805,9,7,34,Conservative
54,255348,192720,3,23,31,Conservative
54,842243,288566,1,6,33,Conservative
36,244500,112361,18,1,32,Conservative
57,227302,2727970,0,5,22,Conservative
62,286980,2046309,10,6,23,Conservative
36,482493,83088,5,4,27,Conservative
44,1047535,348416,6,15,55,Moderate
